,1,1,1,1,1,1,1,1,1,1
,2,1,0,1,1,1,1,1,1,1
,4,0,1,1,1,1,1,1,1,1
,8,1,1,0,0,0,1,1,1,0
,16,1,1,1,0,1,1,1,1,1
,32,1,1,1,0,1,1,1,1,1
,64,1,1,1,0,1,1,1,1,1
,128,1,1,1,0,1,1,0,1,1
,256,1,1,1,1,1,1,1,1,0
,512,1,1,1,1,1,1,1,1,1
,1024,1,1,1,1,1,1,1,1,1
,2048,1,1,2,1,2,2,2,2,23
,4096,23,23,25,25,24,3,28,2,3
,8192,96,5,5,4,5,26,4,29,95
,16384,7,90,99,99,104,97,98,103,107
,32768,300,319,313,232,317,222,339,214,219
,65536,545,552,537,651,541,642,545,546,552
,131072,1108,1100,1102,1107,1107,1112,1114,1196,1193
,262144,2329,2300,2294,2302,2305,2206,2301,2201,2192
,524288,4509,4602,4598,4524,4538,4618,4505,4586,4594
,1048576,9157,9107,9130,9133,9168,9125,9193,9116,9063
,,,,,,,,,,
1,1.00,,,,,,,,,
2,0.89,,,,,,,,,
4,0.89,,,,,,,,,
8,0.56,,,,,,,,,
16,0.89,,,,,,,,,
32,0.89,,,,,,,,,
64,0.89,,,,,,,,,
128,0.78,,,,,,,,,
256,0.89,,,,,,,,,
512,1.00,,,,,,,,,
1024,1.00,,,,,,,,,
2048,4.00,,,,,,,,,
4096,17.33,,,,,,,,,
8192,29.89,,,,,,,,,
16384,89.33,,,,,,,,,
32768,275.00,,,,,,,,,
65536,567.89,,,,,,,,,
131072,1126.56,,,,,,,,,
262144,2270.00,,,,,,,,,
524288,4563.78,,,,,,,,,
1048576,9132.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1,,,,,,,,,
,2,,,,,,,,,
,4,,,,,,,,,
,8,,,,,,,,,
,16,,,,,,,,,
,32,,,,,,,,,
,64,,,,,,,,,
,128,,,,,,,,,
,256,,,,,,,,,
,512,,,,,,,,,
,1024,,,,,,,,,
,2048,,,,,,,,,
,4096,,,,,,,,,
,8192,,,,,,,,,
,16384,,,,,,,,,
,32768,,,,,,,,,
,65536,,,,,,,,,
,131072,,,,,,,,,
,262144,,,,,,,,,
,524288,,,,,,,,,
,1048576,,,,,,,,,
