,1,5,4,4,4,4,4,5,4,4
,2,4,3,4,4,4,4,4,4,4
,4,4,4,4,4,5,4,4,4,4
,8,4,3,3,4,4,3,4,4,4
,16,4,4,4,8,4,4,3,3,4
,32,4,4,4,4,4,4,4,4,4
,64,9,4,5,4,3,4,4,4,4
,128,5,5,4,5,4,4,4,4,4
,256,4,4,4,4,5,4,4,5,5
,512,4,4,4,4,5,4,5,7,4
,1024,4,4,5,5,5,4,4,4,5
,2048,8,8,8,8,8,8,8,8,7
,4096,14,15,14,15,17,15,15,14,16
,8192,28,29,35,31,29,878,29,29,29
,16384,875,56,56,55,55,53,62,55,55
,32768,115,118,110,112,1013,113,109,110,114
,65536,215,218,224,1066,225,225,220,1029,1009
,131072,1434,1322,1249,434,1413,1394,1237,441,1416
,262144,1819,1836,2788,2819,1842,1846,1957,2901,1842
,524288,4783,4726,3833,4767,4670,4680,4653,4743,4752
,1048576,9507,9549,9477,8475,8603,9559,9514,8545,8532
,,,,,,,,,,
1,4.22,,,,,,,,,
2,3.89,,,,,,,,,
4,4.11,,,,,,,,,
8,3.67,,,,,,,,,
16,4.22,,,,,,,,,
32,4.00,,,,,,,,,
64,4.56,,,,,,,,,
128,4.33,,,,,,,,,
256,4.33,,,,,,,,,
512,4.56,,,,,,,,,
1024,4.44,,,,,,,,,
2048,7.89,,,,,,,,,
4096,15.00,,,,,,,,,
8192,124.11,,,,,,,,,
16384,146.89,,,,,,,,,
32768,212.67,,,,,,,,,
65536,492.33,,,,,,,,,
131072,1148.89,,,,,,,,,
262144,2183.33,,,,,,,,,
524288,4623.00,,,,,,,,,
1048576,9084.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1,,,,,,,,,
,2,,,,,,,,,
,4,,,,,,,,,
,8,,,,,,,,,
,16,,,,,,,,,
,32,,,,,,,,,
,64,,,,,,,,,
,128,,,,,,,,,
,256,,,,,,,,,
,512,,,,,,,,,
,1024,,,,,,,,,
,2048,,,,,,,,,
,4096,,,,,,,,,
,8192,,,,,,,,,
,16384,,,,,,,,,
,32768,,,,,,,,,
,65536,,,,,,,,,
,131072,,,,,,,,,
,262144,,,,,,,,,
,524288,,,,,,,,,
,1048576,,,,,,,,,
