









,2
9,4
9,8
8,16
8,32
8,64
10,128
9,256
8,512
9,1024
16,2048
23,4096
62,8192
118,16384
157,32768
298,65536
448,131072
1789,262144
4652,524288
8591,1048576

5,1
4,2
4,4
4,8
4,16
4,32
9,64
5,128
4,256
4,512
4,1024
8,2048
14,4096
28,8192
875,16384
115,32768
215,65536
1434,131072
1819,262144
4783,524288
9507,1048576

4,1
3,2
4,4
3,8
4,16
4,32
4,64
5,128
4,256
4,512
4,1024
8,2048
15,4096
29,8192
56,16384
118,32768
218,65536
1322,131072
1836,262144
4726,524288
9549,1048576

4,1
4,2
4,4
3,8
4,16
4,32
5,64
4,128
4,256
4,512
5,1024
8,2048
14,4096
35,8192
56,16384
110,32768
224,65536
1249,131072
2788,262144
3833,524288
9477,1048576

4,1
4,2
4,4
4,8
8,16
4,32
4,64
5,128
4,256
4,512
5,1024
8,2048
15,4096
31,8192
55,16384
112,32768
1066,65536
434,131072
2819,262144
4767,524288
8475,1048576

4,1
4,2
5,4
4,8
4,16
4,32
3,64
4,128
5,256
5,512
5,1024
8,2048
17,4096
29,8192
55,16384
1013,32768
225,65536
1413,131072
1842,262144
4670,524288
8603,1048576

4,1
4,2
4,4
3,8
4,16
4,32
4,64
4,128
4,256
4,512
4,1024
8,2048
15,4096
878,8192
53,16384
113,32768
225,65536
1394,131072
1846,262144
4680,524288
9559,1048576

5,1
4,2
4,4
4,8
3,16
4,32
4,64
4,128
4,256
5,512
4,1024
8,2048
15,4096
29,8192
62,16384
109,32768
220,65536
1237,131072
1957,262144
4653,524288
9514,1048576

4,1
4,2
4,4
4,8
3,16
4,32
4,64
4,128
5,256
7,512
4,1024
8,2048
14,4096
29,8192
55,16384
110,32768
1029,65536
441,131072
2901,262144
4743,524288
8545,1048576

4,1
4,2
4,4
4,8
4,16
4,32
4,64
4,128
5,256
4,512
5,1024
7,2048
16,4096
29,8192
55,16384
114,32768
1009,65536
1416,131072
1842,262144
4752,524288
8532,1048576

